,0,1
0,ain't,am not
1,aren't,are not
2,can't,cannot
3,can't've,cannot have
4,cause,because
5,could've,could have
6,couldn't,could not
7,couldn't've,could not have
8,didn't,did not
9,doesn't,does not
10,don't,do not
11,hadn't,had not
12,hadn't've,had not have
13,hasn't,has not
14,haven't,have not
15,he'd,he would
16,he'd've,he would have
17,he'll,he will
18,he'll've,he will have
19,he's,he is
20,how'd,how did
21,how'd'y,how do you
22,how'll,how will
23,how's,how is
24,I'd,I would
25,I'd've,I would have
26,I'll,I will
27,I'll've,I will have
28,I'm,I am
29,I've,I have
30,isn't,is not
31,it'd,it had
32,it'd've,it would have
33,it'll,it will
34,it'll've,it will have
35,it's,it is
36,let's,let us
37,ma'am,madam
38,mayn't,may not
39,might've,might have
40,mightn't,might not
41,mightn't've,might not have
42,must've,must have
43,mustn't,must not
44,mustn't've,must not have
45,needn't,need not
46,needn't've,need not have
47,o'clock,of the clock
48,oughtn't,ought not
49,oughtn't've,ought not have
50,shan't,shall not
51,sha'n't,shall not
52,shan't've,shall not have
53,she'd,she would
54,she'd've,she would have
55,she'll,she will
56,she'll've,she will have
57,she's,she is
58,should've,should have
59,shouldn't,should not
60,shouldn't've,should not have
61,so've,so have
62,so's,so is
63,that'd,that would
64,that'd've,that would have
65,that's,that is
66,there'd,there had
67,there'd've,there would have
68,there's,there is
69,they'd,they would
70,they'd've,they would have
71,they'll,they will
72,they'll've,they will have
73,they're,they are
74,they've,they have
75,to've,to have
76,wasn't,was not
77,we'd,we had
78,we'd've,we would have
79,we'll,we will
80,we'll've,we will have
81,we're,we are
82,we've,we have
83,weren't,were not
84,what'll,what will
85,what'll've,what will have
86,what're,what are
87,what's,what is
88,what've,what have
89,when's,when is
90,when've,when have
91,where'd,where did
92,where's,where is
93,where've,where have
94,who'll,who will
95,who'll've,who will have
96,who's,who is
97,who've,who have
98,why's,why is
99,why've,why have
100,will've,will have
101,won't,will not
102,won't've,will not have
103,would've,would have
104,wouldn't,would not
105,wouldn't've,would not have
106,y'all,you all
107,y'alls,you alls
108,y'all'd,you all would
109,y'all'd've,you all would have
110,y'all're,you all are
111,y'all've,you all have
112,you'd,you had
113,you'd've,you would have
114,you'll,you you will
115,you'll've,you you will have
116,you're,you are
117,you've,you have
